"movieId","tmdbId","year","imdbId","runtime","imdbRating","imdbVotes","title","url","revenue","plot","poster","released","budget"
"16","524","1995","0112641","178","8.2","320118","Casino","https://themoviedb.org/movie/524","116112375","Greed, deception, money, power, and murder occur between two mobster best friends and a trophy wife over a gambling empire.","https://image.tmdb.org/t/p/w440_and_h660_face/4TS5O1IP42bY2BvgMxL156EENy.jpg","1995-11-22","52000000"
"17","4584","1995","0114388","136","7.7","76082","Sense and Sensibility","https://themoviedb.org/movie/4584","134582776","Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the titular opposites.","https://image.tmdb.org/t/p/w440_and_h660_face/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg","1996-01-26","16000000"
"18","5","1995","0113101","98","6.7","75952","Four Rooms","https://themoviedb.org/movie/5","4257354","Four interlocking tales that take place in a fading hotel on New Year's Eve.","https://image.tmdb.org/t/p/w440_and_h660_face/uZSmxBLIuZ8gpadjAWNdA5aQDAc.jpg","1995-12-25","4000000"
"19","9273","1995","0112281","90","6.3","155200","Ace Ventura: When Nature Calls","https://themoviedb.org/movie/9273","212385533","Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.","https://image.tmdb.org/t/p/w440_and_h660_face/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg","1995-11-10","30000000"
"20","11517","1995","0113845","110","5.6","31488","Money Train","https://themoviedb.org/movie/11517","77224232","A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.","https://image.tmdb.org/t/p/w440_and_h660_face/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg","1995-11-22","68000000"
"21","8012","1995","0113161","105","6.9","61591","Get Shorty","https://themoviedb.org/movie/8012","115101622","A mobster travels to Hollywood to collect a debt and discovers that the movie business is much the same as his current job.","https://image.tmdb.org/t/p/w440_and_h660_face/5XSVAyHmTCFOWaqEQ0LUHh3yssB.jpg","1995-10-20","30250000"
"22","1710","1995","0112722","123","6.6","41335","Copycat","https://themoviedb.org/movie/1710","","An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.","https://image.tmdb.org/t/p/w440_and_h660_face/sch1NNy1q6O50qaUG0MqoU8z9GD.jpg","1995-10-27",""
"23","9691","1995","0112401","132","6.3","60996","Assassins","https://themoviedb.org/movie/9691","30303072","Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.","https://image.tmdb.org/t/p/w440_and_h660_face/5Ldj3h0ReTsKlKLyLxaD3mW2ZIQ.jpg","1995-10-06","50000000"
"24","12665","1995","0114168","111","6.5","23715","Powder","https://themoviedb.org/movie/12665","","A young bald albino boy with unique powers shakes up the rural community he lives in.","https://image.tmdb.org/t/p/w440_and_h660_face/kImKATjY4EsK5MDgrmpJdGbQEbq.jpg","1995-10-27",""
"25","451","1995","0113627","111","7.6","91469","Leaving Las Vegas","https://themoviedb.org/movie/451","49800000","Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.","https://image.tmdb.org/t/p/w440_and_h660_face/rl5ROyXACDkiSbO6PnKK6Onnw26.jpg","1996-02-09","3600000"
"26","16420","1995","0114057","123","7.0","7241","Othello","https://themoviedb.org/movie/16420","","The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.","https://image.tmdb.org/t/p/w440_and_h660_face/6u14UkDVPUVquXkZ5Hgb7UIEvUE.jpg","1996-01-19",""
"27","9263","1995","0114011","100","6.7","21002","Now and Then","https://themoviedb.org/movie/9263","27400000","Four 12-year-old girls grow up together during an eventful small-town summer in 1970.","https://image.tmdb.org/t/p/w440_and_h660_face/yQ8xP1WOfatqgUp4e3X8n73itJc.jpg","1995-10-20","12000000"
"28","17015","1995","0114117","107","7.7","8758","Persuasion","https://themoviedb.org/movie/17015","","Eight years earlier, Anne Elliot, the daughter of a financially troubled aristocratic family, was persuaded to break off her engagement to Frederick Wentworth, a young seaman, who, though ...","https://image.tmdb.org/t/p/w440_and_h660_face/tYOFCtgLb4hfuwhXKBWwAobWhwS.jpg","1995-09-27",""
"29","902","1995","0112682","112","7.7","54490","City of Lost Children, The (Cité des enfants perdus, La)","https://themoviedb.org/movie/902","1738611","A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.","https://image.tmdb.org/t/p/w440_and_h660_face/xQrp6wxaNMXVd259235d1X0LBsw.jpg","1995-12-15","18000000"
"30","37557","1995","0115012","108","7.2","4140","Shanghai Triad (Yao a yao yao dao waipo qiao)","https://themoviedb.org/movie/37557","","A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.","https://image.tmdb.org/t/p/w440_and_h660_face/tzG1UxUSfPACREjgBrsPDRUvneH.jpg","1995-12-22","2300000"
"31","9909","1995","0112792","99","6.4","37045","Dangerous Minds","https://themoviedb.org/movie/9909","179519401","An ex-Marine turned teacher struggles to connect with her students in an inner city school.","https://image.tmdb.org/t/p/w440_and_h660_face/y2iKziYm1rG5AWfL3el7HgxhoIp.jpg","1995-08-11","23000000"
"32","63","1995","0114746","129","8.1","446779","Twelve Monkeys (a.k.a. 12 Monkeys)","https://themoviedb.org/movie/63","168840000","In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.","https://image.tmdb.org/t/p/w440_and_h660_face/kKoG0hXBmBbkDnJYhhHisdin73W.jpg","1996-01-05","29500000"
"34","9598","1995","0112431","91","6.8","91870","Babe","https://themoviedb.org/movie/9598","254134910","Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett.","https://image.tmdb.org/t/p/w440_and_h660_face/bjDIp0b5TQRx4kF8l9TKeUANLTp.jpg","1995-08-04","30000000"
"35","47018","1995","0112637","121","6.9","4351","Carrington","https://themoviedb.org/movie/47018","","The platonic relationship between artist Dora Carrington and writer Lytton Strachey in the early 20th century.","https://image.tmdb.org/t/p/w440_and_h660_face/8NmeBTkC4UQa8XT2GGsBN2R8Bqo.jpg","1995-11-10",""
"36","687","1995","0112818","122","7.6","71231","Dead Man Walking","https://themoviedb.org/movie/687","39363635","A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.","https://image.tmdb.org/t/p/w440_and_h660_face/wQmmJi5ypfHH2boXrQBmsep7qb2.jpg","1996-02-02","11000000"
"37","139405","1995","0112286","51","6.6","203","Across the Sea of Time","https://themoviedb.org/movie/139405","16015639","A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all ...","","1995-10-20",""
"38","33689","1995","0113442","101","5.7","14602","It Takes Two","https://themoviedb.org/movie/33689","","Alyssa (a rich girl) and Amanda (an orphan) are two little girls who are identical, but complete strangers, that accidentally meet one day. In an attempt to stop Alyssa's father from ...","https://image.tmdb.org/t/p/w440_and_h660_face/sdes5TrRbymELYLG85YIxmFb1OP.jpg","1995-11-17",""
"39","9603","1995","0112697","97","6.8","116376","Clueless","https://themoviedb.org/movie/9603","56631572","A rich high school student tries to boost a new pupil's popularity, but reckons without affairs of the heart getting in the way.","https://image.tmdb.org/t/p/w440_and_h660_face/71RW4lkES2Dt7vSLSXvekGYNskG.jpg","1995-07-19","12000000"
"40","34615","1995","0112749","106","6.9","1399","Cry, the Beloved Country","https://themoviedb.org/movie/34615","676525","A South-African preacher goes to search for his wayward son who has committed a crime in the big city.","https://image.tmdb.org/t/p/w440_and_h660_face/kGPsBswFOCjiGzXq4OZwzEAAODa.jpg","1995-12-15",""
"41","31174","1995","0114279","104","7.5","11297","Richard III","https://themoviedb.org/movie/31174","2748518","The classic Shakespearean play about a murderously scheming king staged in an alternative fascist England setting.","https://image.tmdb.org/t/p/w440_and_h660_face/aN2BcIH6rvGbYiRQCS8lxOdeeVQ.jpg","1995-12-29",""
"42","11443","1995","0112819","119","6.8","14749","Dead Presidents","https://themoviedb.org/movie/11443","24147179","A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.","https://image.tmdb.org/t/p/w440_and_h660_face/gCqfjRQtBugpmbkBrmGzCLSJo3m.jpg","1995-10-06","10000000"
"43","35196","1995","0114272","117","6.7","7423","Restoration","https://themoviedb.org/movie/35196","","The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.","https://image.tmdb.org/t/p/w440_and_h660_face/wkf0z1GSbVXrGvUpT5ApBNA4VEW.jpg","1996-02-02","19000000"
"44","9312","1995","0113855","101","5.8","79687","Mortal Kombat","https://themoviedb.org/movie/9312","122195920","Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.","https://image.tmdb.org/t/p/w440_and_h660_face/fcK7tzSSXMYiMN8E9KlZJL1BYyp.jpg","1995-08-18","18000000"
"45","577","1995","0114681","106","6.8","33928","To Die For","https://themoviedb.org/movie/577","21284514","Suzanne Stone is an aspiring TV personality who will do anything to be in the spotlight, including enlisting three teenagers to kill her husband.","https://image.tmdb.org/t/p/w440_and_h660_face/aedhsShrlJVhLlwhtlmFJgR4Szs.jpg","1995-10-06","20000000"
"46","11861","1995","0113347","109","6.2","8258","How to Make an American Quilt","https://themoviedb.org/movie/11861","23574130","Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.","https://image.tmdb.org/t/p/w440_and_h660_face/vwYRaERccwXWCYrTzeWRZRarJOo.jpg","1995-10-06","10000000"
"47","807","1995","0114369","127","8.6","981458","Seven (a.k.a. Se7en)","https://themoviedb.org/movie/807","327311859","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his modus operandi.","https://image.tmdb.org/t/p/w440_and_h660_face/6yoghtyTpznpBik8EngEmJskVUO.jpg","1995-09-22","33000000"
"48","10530","1995","0114148","81","6.6","113939","Pocahontas","https://themoviedb.org/movie/10530","346079773","An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth-century Virginia.","https://image.tmdb.org/t/p/w440_and_h660_face/kZ1ft0QZ4e3zDUPMBftEkwI9ftd.jpg","1995-06-23","55000000"
"49","8391","1995","0114916","94","6.8","5192","When Night Is Falling","https://themoviedb.org/movie/8391","","An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town.","https://image.tmdb.org/t/p/w440_and_h660_face/f9edMkT6bLXVvZICn47ARnQ1Iu5.jpg","1995-11-17",""
"50","629","1995","0114814","106","8.6","711361","Usual Suspects, The","https://themoviedb.org/movie/629","23341568","A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which begin when five criminals meet at a seemingly random police lineup.","https://image.tmdb.org/t/p/w440_and_h660_face/d2IalvQ6eaEAsLVTFUEHf6roHEk.jpg","1995-09-15","6000000"
"52","11448","1995","0113819","95","7.1","30824","Mighty Aphrodite","https://themoviedb.org/movie/11448","6700000","When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a prostitute.","https://image.tmdb.org/t/p/w440_and_h660_face/m0MZabFBNtMuFn3oNcq45M1Jws3.jpg","1995-11-10","15000000"
"53","49133","1994","0110299","116","7.6","1714","Lamerica","https://themoviedb.org/movie/49133","","Two Italian racketeers come to Albania just after the fall of the communists to set up a fictive firm and pocket the grants. They need a stooge. They choose an old one in a jail : Spiro. ...","https://image.tmdb.org/t/p/w440_and_h660_face/1oeLiGLbjXi32ZPIrzTrYIsKFd5.jpg","1995-10-04",""
"54","26441","1995","0112499","100","5.4","6671","Big Green, The","https://themoviedb.org/movie/26441","","Another Disney underdog sports team of misfit kids (soccer this time) learns to play a new sport and become champions, while building self-esteem, making friends and solving a variety of ...","https://image.tmdb.org/t/p/w440_and_h660_face/kbJqLMRUoVmNkQ4VgAtDwGis2dJ.jpg","1995-09-29",""
"55","97406","1995","0113158","115","6.4","2307","Georgia","https://themoviedb.org/movie/97406","","Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Sadie wants to be a famous artist like her sister, but is always doing everything wrong. Her ...","https://image.tmdb.org/t/p/w440_and_h660_face/uXjfK404xo7SiVlFcAoRyaFqXR4.jpg","1995-12-08",""
"57","9089","1995","0113321","103","6.6","8945","Home for the Holidays","https://themoviedb.org/movie/9089","17519169","After losing her job, making out with her soon-to-be former boss and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family.","https://image.tmdb.org/t/p/w440_and_h660_face/a8MslR6deQQVe8JR542XDSwHiPB.jpg","1995-11-03",""
"58","11010","1994","0110877","108","7.8","25355","Postman, The (Postino, Il)","https://themoviedb.org/movie/11010","","Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.","https://image.tmdb.org/t/p/w440_and_h660_face/zqK1rE4gpDvEn612HeJF4EnoYCG.jpg","1996-03-22",""
"59","99040","1995","0112714","100","7.6","1347","Confessional, The (Confessionnal, Le)","https://themoviedb.org/movie/99040","","The year is 1952, in Quebec City. Rachel, 16, unmarried, and pregnant, works in the church. Filled with shame, she unburdens her guilt to a young priest, under the confidentiality of the ...","https://image.tmdb.org/t/p/w440_and_h660_face/9ApR0PwQdlnvc76NmlbUWkeAK9i.jpg","1996-08-16",""
"60","11359","1995","0113419","96","5.9","20201","Indian in the Cupboard, The","https://themoviedb.org/movie/11359","","On his ninth birthday a boy receives many presents. Two of them first seem to be less important: an old cupboard from his brother and a little Indian figure made of plastic from his best ...","https://image.tmdb.org/t/p/w440_and_h660_face/6jxwjs285L16lO3XAX7FzfQpREb.jpg","1995-07-14","45000000"
"61","17182","1996","0116260","101","6.1","9441","Eye for an Eye","https://themoviedb.org/movie/17182","26877589","When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice.","https://image.tmdb.org/t/p/w440_and_h660_face/y2lZSdJ1o0VvLegTw3ad6KFtxra.jpg","1996-01-12","20000000"
"62","2054","1995","0113862","143","7.3","29633","Mr. Holland's Opus","https://themoviedb.org/movie/2054","106269971","A frustrated composer finds fulfillment as a high school music teacher.","https://image.tmdb.org/t/p/w440_and_h660_face/kBmwWeSN3ajnYHZ3dSybEobxEPI.jpg","1996-01-19","23000000"
"63","10607","1996","0116126","89","6.6","37036","Don't Be a Menace to South Central While Drinking Your Juice in the Hood","https://themoviedb.org/movie/10607","","Don't Be a Menace to South Central While Drinking your Juice in the Hood is a parody of several U.S. films about being in the 'Hood', for instance Boyz n the Hood, South Central, ...","https://image.tmdb.org/t/p/w440_and_h660_face/HZQBF7JDd2e9p4rPSbSHuWHaCC.jpg","1996-01-12",""
"64","19760","1996","0118002","96","5.2","4448","Two if by Sea","https://themoviedb.org/movie/19760","10658278","Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that _last_ job, which involves stealing a valuable painting. ...","https://image.tmdb.org/t/p/w440_and_h660_face/kvQl6sJyplWRQ0BGp0E8kBUQKO8.jpg","1996-01-12",""
"65","9536","1996","0115683","88","4.3","21048","Bio-Dome","https://themoviedb.org/movie/9536","","Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.","https://image.tmdb.org/t/p/w440_and_h660_face/pjSkGZAvksrbO6tGain8PJ3rfC7.jpg","1996-01-12","15000000"
"66","11525","1996","0116839","93","2.4","7798","Lawnmower Man 2: Beyond Cyberspace","https://themoviedb.org/movie/11525","2409225","Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and ...","https://image.tmdb.org/t/p/w440_and_h660_face/2Zp26DfI6pTqiyHUkL7bMjv28tG.jpg","1996-01-12",""
"68","4482","1995","0113149","104","6.4","3674","French Twist (Gazon maudit)","https://themoviedb.org/movie/4482","","After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.","https://image.tmdb.org/t/p/w440_and_h660_face/5WhBRgimR7mHiB4oSmXDPXzn81j.jpg","1996-01-19",""
"69","10634","1995","0113118","91","7.3","71667","Friday","https://themoviedb.org/movie/10634","28215918","Two homies, Smokey and Craig, smoke a dope dealer's weed and try to figure a way to get the $200 they owe to the dealer by ten p.m. that same night. In that time, they smoke more weed, get jacked, and they get shot at in a drive-by.","https://image.tmdb.org/t/p/w440_and_h660_face/kvtBMDc67NShviLR0AyjWklT8VW.jpg","1995-04-26","3500000"
"70","755","1996","0116367","108","7.3","212165","From Dusk Till Dawn","https://themoviedb.org/movie/755","25836616","Two criminals and their hostages unknowingly seek temporary refuge in an establishment populated by vampires, with chaotic results.","https://image.tmdb.org/t/p/w440_and_h660_face/sV3kIAmvJ9tPz4Lq5fuf9LLMxte.jpg","1996-01-19","19000000"
"71","11859","1995","0113010","91","4.1","9973","Fair Game","https://themoviedb.org/movie/11859","11534477","Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her.","https://image.tmdb.org/t/p/w440_and_h660_face/sLmQMGJXQI4zakDTqq7J0d9nCU3.jpg","1995-11-03","50000000"
"72","28387","1995","0113537","96","7.1","6885","Kicking and Screaming","https://themoviedb.org/movie/28387","718490","Following graduation, a handful of college students do nothing and talk about it wittily.","https://image.tmdb.org/t/p/w440_and_h660_face/186brkmaBmopqcM0dPs71tj9BfM.jpg","1995-10-06",""
"73","48750","1995","0113828","175","7.5","3151","Misérables, Les","https://themoviedb.org/movie/48750","","Henri Fortin is poor and iliterate former boxer. Ziman is rich Jewish lawyer from Paris. During WWII they meet when Fortin agrees to drive Ziman's family to Switzerland. Intrigued by Victor...","https://image.tmdb.org/t/p/w440_and_h660_face/ct1T56BbeE60CsoFhUB4Qmq8kkf.jpg","1995-11-03",""
"74","20927","1996","0115644","87","6.0","6660","Bed of Roses","https://themoviedb.org/movie/20927","19030691","Romantic drama about a young career girl who is swept off her feet by a shy florist, who fell in love with her after one glimpse through a shadowy window.","https://image.tmdb.org/t/p/w440_and_h660_face/e0Eho8TETw1RhvX9MH9i19Xf1iM.jpg","1996-01-26",""
"76","9102","1995","0114367","108","6.4","19542","Screamers","https://themoviedb.org/movie/9102","5781885","(SIRIUS 6B, Year 2078) On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as...","https://image.tmdb.org/t/p/w440_and_h660_face/5eD94VJwaui14lBozxRQHWhA06X.jpg","1996-01-26","20000000"
"77","124626","1995","0113973","67","7.3","534","Nico Icon","https://themoviedb.org/movie/124626","","A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item,...","","1995-11-16",""
"78","27526","1995","0112744","111","6.4","10337","Crossing Guard, The","https://themoviedb.org/movie/27526","","Freddie Gale is a seedy jeweler who has sworn to kill the drunk driver who killed his little girl.","https://image.tmdb.org/t/p/w440_and_h660_face/otL93Cs0pHAc0pR4CF3yAY436tY.jpg","1995-11-16",""
"79","9623","1996","0116731","118","5.6","13707","Juror, The","https://themoviedb.org/movie/9623","22754725","When Annie Laird is selected as a juror in a big Mafia trial, she is forced by someone known as The Teacher to persuade the other jurors to vote not guilty. He threatens to kill her son...","https://image.tmdb.org/t/p/w440_and_h660_face/dZ94mKfHmYqwIOd826dF5z5aGnr.jpg","1996-02-02","44000000"
"80","46785","1995","0112445","85","7.8","4509","White Balloon, The (Badkonake sefid)","https://themoviedb.org/movie/46785","","Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.","https://image.tmdb.org/t/p/w440_and_h660_face/bamJR4MwtQDMdWkjVAPojfwOjY4.jpg","1995-11-27",""
"81","400","1995","0114660","115","6.8","21912","Things to Do in Denver When You're Dead","https://themoviedb.org/movie/400","529766","Five different criminals face imminent death after botching a job quite badly.","https://image.tmdb.org/t/p/w440_and_h660_face/kATmorfxsxbS0GSKOVJe4qvPLh5.jpg","1995-12-01","8000000"
"82","880","1995","0112379","102","7.5","6659","Antonia's Line (Antonia)","https://themoviedb.org/movie/880","","A Dutch matron establishes and, for several generations, oversees a close-knit, matriarchal community where feminism and liberalism thrive.","https://image.tmdb.org/t/p/w440_and_h660_face/7Yz6IXplDRtasBwRkdv0OguIV0B.jpg","1996-02-02","900000"
"83","146599","1995","0114039","115","7.3","411","Once Upon a Time... When We Were Colored","https://themoviedb.org/movie/146599","","A narrator tells the story of his childhood years in a tightly knit Afro-American community in the deep south under racial segregation.","","1996-01-26",""
"84","188588","1995","0113612","108","6.1","300","Last Summer in the Hamptons","https://themoviedb.org/movie/188588","","Filmed entirely on location in East Hampton, Long Island, Last Summer in the Hamptons concerns a large theatrical family spending the last weekend of their summer together at the ...","https://image.tmdb.org/t/p/w440_and_h660_face/qVCkkiAoxh5e1UIKJ4Uo6ILV8qA.jpg","1996-09-15",""
"85","8447","1995","0112365","116","7.0","3927","Angels and Insects","https://themoviedb.org/movie/8447","","In the 1800s a naturalist marries into a family of British country gentry.","https://image.tmdb.org/t/p/w440_and_h660_face/qScw5w5NTkmcVvRmrfWmQW4JHpe.jpg","1996-01-26",""
"86","10534","1996","0118158","129","6.6","17501","White Squall","https://themoviedb.org/movie/10534","10300000","Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.","https://image.tmdb.org/t/p/w440_and_h660_face/rNWFsKrTGRCTKsT9dGx9vwWP8tA.jpg","1996-02-02","38000000"
"87","17414","1996","0116151","88","5.2","9574","Dunston Checks In","https://themoviedb.org/movie/17414","","Young boy befriends larcenous orangutan in luxury hotel.","https://image.tmdb.org/t/p/w440_and_h660_face/mvbJSNMRzM7epjeJMT3vFxXydQJ.jpg","1996-01-12","16000000"
"88","13997","1996","0115697","87","6.2","28959","Black Sheep","https://themoviedb.org/movie/13997","32000000","A gubernatorial candidate hires a wormy special assistant whose only job is to make sure the candidate's well-meaning but incompetent brother doesn't ruin the election.","https://image.tmdb.org/t/p/w440_and_h660_face/bV9SCk4QXCi9p1kdDBiYejcMQwK.jpg","1996-02-02",""
"89","2086","1995","0113972","90","6.3","31726","Nick of Time","https://themoviedb.org/movie/2086","8175346","An unimpressive, every-day man is forced into a situation where he is told to kill a politician to save his kidnapped daughter.","https://image.tmdb.org/t/p/w440_and_h660_face/A1FJwUVg84sQSjHVz5jVMXQvifJ.jpg","1995-11-22","8169363"
